vehicle_type,weight,max_load_capacity,passenger_count,cargo_weight,road_condition,weather,region,overloaded
heavy vehicle,6493.714633096535,17983.42908316228,2,9297.701469904194,good,clear,urban,Not Overloaded
heavy vehicle,5904.892904165864,15415.700225364224,1,9096.299231952553,excellent,clear,highway,Not Overloaded
heavy vehicle,5023.438967669379,14357.49634598184,1,8853.37048199911,excellent,clear,highway,Not Overloaded
heavy vehicle,5720.43361478567,19050.563849290822,2,9852.31029553269,excellent,clear,rural,Not Overloaded
heavy vehicle,5775.207116129024,19082.451365861547,2,10242.697745434822,excellent,rainy,highway,Not Overloaded
heavy vehicle,5967.52949350342,15991.983569389598,2,8195.177548283536,good,clear,suburban,Not Overloaded
heavy vehicle,6065.198087794689,17777.07659944682,1,11185.157102800413,excellent,clear,highway,Not Overloaded
heavy vehicle,9411.428656852939,14267.318458792291,2,18639.906857618655,good,rainy,suburban,Overloaded
heavy vehicle,11633.79913059865,8866.184612731147,2,10920.549408695666,poor,snowy,urban,Overloaded
heavy vehicle,5563.533237416142,18001.128977558627,2,9602.070984276375,average,clear,highway,Not Overloaded
4-wheeler 5-seater,1080.0316634918609,450.98833772951866,1,560.3175882280419,poor,windy,rural,Overloaded
4-wheeler 7-seater,2217.0823742772327,745.2482296691744,2,745.6734471118584,poor,clear,desert,Overloaded
delivery vehicle,3487.5048162036014,2125.334774246563,3,2757.503792252929,very poor,extreme,urban,Overloaded
heavy vehicle,6030.948154634894,19850.40577614907,1,10996.676902121419,excellent,windy,suburban,Not Overloaded
4-wheeler 5-seater,1055.412345218355,546.3679709407604,3,483.37326372554725,very poor,snowy,rural,Overloaded
heavy vehicle,5259.802466883053,17052.08609585574,1,9980.13193698226,good,clear,highway,Not Overloaded
heavy vehicle,5267.563571919265,19845.34628650364,1,12567.712747177395,excellent,clear,rural,Not Overloaded
heavy vehicle,5487.620010765404,19638.95598895848,1,12040.92470821223,excellent,clear,suburban,Not Overloaded
4-wheeler 7-seater,1719.1387588043194,633.2012871882681,5,405.94489382942453,excellent,snowy,urban,Overloaded
heavy vehicle,5813.008894067179,8573.94247711034,2,10097.832103243827,good,foggy,urban,Overloaded
2-wheeler,139.22411294017007,246.9488790254169,2,135.6026103221293,poor,snowy,desert,Overloaded
heavy vehicle,5730.070967926889,15753.064085383758,2,8066.487769599399,excellent,windy,highway,Not Overloaded
4-wheeler 5-seater,1389.2127904067097,570.843429920907,3,413.1567516437443,poor,clear,mountainous,Overloaded
heavy vehicle,6124.056155052831,17254.50338475499,2,8568.987491160306,good,clear,urban,Not Overloaded
4-wheeler 5-seater,1144.299995788054,534.8864682710682,3,390.5205637520918,average,clear,suburban,Overloaded
heavy vehicle,6588.340195930632,18499.059283916285,1,23970.045775768376,average,windy,rural,Overloaded
2-wheeler,150.20162197920394,161.54007952261728,1,100.98974904521867,very poor,clear,coastal,Overloaded
heavy vehicle,5589.5970452275105,18753.600716874666,2,9600.666851930053,excellent,windy,rural,Not Overloaded
heavy vehicle,5889.756379595433,19308.743398733444,2,9602.63565768595,good,windy,rural,Not Overloaded
heavy vehicle,5173.920878062976,18695.479937255288,1,10866.393856166438,excellent,windy,urban,Not Overloaded
delivery vehicle,3279.128430246059,3584.0675905883427,3,4890.651212194635,excellent,extreme,urban,Overloaded
heavy vehicle,5196.963926632612,15956.002537475008,1,9640.402185648698,excellent,clear,highway,Not Overloaded
heavy vehicle,5718.835454759403,19601.95459740998,2,10508.049384076858,good,clear,suburban,Not Overloaded
4-wheeler 7-seater,1950.8625515813228,656.9220545798954,3,582.9921421306523,average,snowy,mountainous,Overloaded
delivery vehicle,2738.5131259760724,4289.026968003349,2,4721.522378770979,excellent,rainy,suburban,Overloaded
heavy vehicle,5005.7417833391855,14580.843123584642,1,8900.364406123119,excellent,clear,suburban,Not Overloaded
heavy vehicle,7851.42436040516,12962.624879727427,2,14766.777809493375,average,foggy,coastal,Overloaded
heavy vehicle,11621.638853826118,15654.547115650494,2,20152.32279890769,good,clear,mountainous,Overloaded
heavy vehicle,6924.159780463175,16566.227184646785,1,8707.448626505926,excellent,clear,suburban,Not Overloaded
heavy vehicle,5402.195717706583,18403.128965602395,1,12460.436824953103,excellent,clear,highway,Not Overloaded
heavy vehicle,5623.152305922501,19618.210410836167,1,9966.0734163804,average,clear,rural,Not Overloaded
heavy vehicle,5474.679484704586,19115.219091587278,2,11081.136650940829,excellent,clear,rural,Not Overloaded
heavy vehicle,6244.0037619656805,19282.745878841408,2,10894.509018056557,good,clear,urban,Not Overloaded
heavy vehicle,5973.023562874773,18545.85983114053,2,10817.488589343226,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,1430.9803066084328,611.0298160234059,3,601.4032916801114,very poor,extreme,highway,Overloaded
2-wheeler,169.2624866621624,211.0811023458399,2,91.66334372734937,poor,rainy,highway,Overloaded
heavy vehicle,6064.1095423594,17131.759860018305,1,9066.174002560685,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,919.4700018920237,602.8511735755001,5,314.09507450289885,poor,rainy,suburban,Overloaded
2-wheeler,193.2855345841311,206.979053679134,1,174.92243473220827,good,extreme,rural,Overloaded
delivery vehicle,3233.932534130547,2044.900507193686,1,2648.8671996593594,very poor,foggy,suburban,Overloaded
heavy vehicle,5792.040397982023,19844.664526645145,1,10264.854639574933,good,clear,urban,Not Overloaded
heavy vehicle,5116.686631330811,19828.913869158736,2,12196.526519616564,excellent,windy,suburban,Not Overloaded
heavy vehicle,5298.959894387903,18103.351260971933,2,10728.133714012954,good,clear,highway,Not Overloaded
heavy vehicle,5176.977954512738,19230.58733185223,2,9670.295999783633,excellent,foggy,urban,Not Overloaded
heavy vehicle,6132.408704299957,13615.45684892792,1,7244.607567699804,excellent,clear,highway,Not Overloaded
4-wheeler 7-seater,1641.0675642068534,931.4342329766533,3,810.8158209707963,very poor,windy,coastal,Overloaded
delivery vehicle,4277.5753049084005,4308.127579649355,1,5768.021771014503,excellent,extreme,highway,Overloaded
heavy vehicle,5502.514156470546,19850.01224660509,2,11446.658283670818,good,clear,rural,Not Overloaded
heavy vehicle,6581.724649163658,19525.8957445532,1,10087.523425831156,good,clear,rural,Not Overloaded
4-wheeler 7-seater,1643.7052368636296,873.6737735072987,3,914.2551253231725,very poor,rainy,coastal,Overloaded
heavy vehicle,6845.91333605834,15883.745701499553,2,8222.936990960601,excellent,clear,suburban,Not Overloaded
heavy vehicle,5221.682533072451,18904.540637832062,1,9481.111035031143,good,rainy,urban,Not Overloaded
heavy vehicle,5361.127097537591,19411.950586714138,1,28584.406400419495,good,snowy,coastal,Overloaded
heavy vehicle,6084.7934146294,15164.151756323288,1,7889.931137422334,good,clear,highway,Not Overloaded
4-wheeler 7-seater,2463.220482599309,913.4805856537419,6,702.9838171344795,average,windy,rural,Overloaded
heavy vehicle,6538.309271784454,18658.58936394959,1,9442.155511368726,excellent,clear,suburban,Not Overloaded
heavy vehicle,5458.539380258115,18588.68355404891,1,11759.171139515645,good,clear,highway,Not Overloaded
heavy vehicle,5364.191719118798,8343.74944500795,2,10249.43397455868,good,clear,coastal,Overloaded
heavy vehicle,5686.48788011844,18968.91236689681,2,11813.547464540838,good,clear,highway,Not Overloaded
2-wheeler,193.45559693047733,232.15658221396626,2,116.66012292293243,average,snowy,coastal,Overloaded
heavy vehicle,5690.649856044104,15967.161728607243,1,9419.37792592661,excellent,clear,highway,Not Overloaded
heavy vehicle,5368.704717724052,18771.05278009803,1,10171.082314742545,excellent,windy,rural,Not Overloaded
delivery vehicle,3163.5641197411687,2693.730289657207,3,3450.7057526677113,good,rainy,mountainous,Overloaded
heavy vehicle,6984.065376766057,19416.50365470906,2,10751.13824885124,excellent,clear,suburban,Not Overloaded
2-wheeler,122.60319774765512,218.87686177127455,1,222.46573743294883,very poor,extreme,desert,Overloaded
heavy vehicle,5758.870154725047,18768.428398251686,1,10874.08222031151,excellent,windy,highway,Not Overloaded
4-wheeler 7-seater,1922.0847533711774,988.4059059436531,5,819.7941645801551,excellent,rainy,suburban,Overloaded
2-wheeler,175.94571922650456,168.91776680260156,1,132.05827426372292,poor,extreme,mountainous,Overloaded
2-wheeler,168.49937374191921,185.0547676440665,2,59.058106944118265,very poor,rainy,coastal,Overloaded
4-wheeler 5-seater,825.3814522891868,598.3098459080791,2,588.1301358376245,poor,snowy,urban,Overloaded
4-wheeler 5-seater,1272.5526514455737,505.9178923399752,4,319.19887239310253,excellent,foggy,rural,Overloaded
heavy vehicle,5774.173522713748,18946.77897255458,1,10041.459448615553,good,clear,suburban,Not Overloaded
heavy vehicle,5184.033095446965,17709.364829562066,2,8818.17679714468,excellent,windy,desert,Not Overloaded
4-wheeler 7-seater,1750.196930292898,797.6961418990506,1,939.5052457161021,average,windy,rural,Overloaded
heavy vehicle,5094.936690064544,17005.100633363865,1,8695.187553348836,average,clear,highway,Not Overloaded
2-wheeler,105.44971726204044,170.40171913449367,1,123.66334669184032,excellent,snowy,coastal,Overloaded
heavy vehicle,9111.853632322041,16827.56236909503,2,21095.93477994026,poor,clear,mountainous,Overloaded
2-wheeler,122.70655470706002,175.47401174041417,2,42.57708623524822,very poor,clear,coastal,Overloaded
4-wheeler 5-seater,968.9785167928295,605.7983649870478,3,487.7997196310612,poor,windy,rural,Overloaded
4-wheeler 5-seater,1246.6236240050382,430.87942396624754,1,440.1048289187478,poor,clear,coastal,Overloaded
4-wheeler 5-seater,1400.513006986363,637.0012936477311,1,751.1055615484187,average,snowy,urban,Overloaded
heavy vehicle,5021.659398233062,19967.684710471578,1,10071.486122912418,good,clear,rural,Not Overloaded
heavy vehicle,5705.59557913793,19331.698056787107,1,11442.438200169163,excellent,clear,highway,Not Overloaded
heavy vehicle,5466.980582478155,13304.920884699502,2,7599.124602083695,excellent,clear,highway,Not Overloaded
4-wheeler 5-seater,1201.1571575434446,629.4319592545838,2,587.7654869770238,very poor,clear,suburban,Overloaded
4-wheeler 5-seater,1255.3369832932776,509.45953563342374,4,262.9042593948669,average,clear,suburban,Overloaded
4-wheeler 5-seater,1441.6024684152612,587.3765152344879,1,601.9891446744904,excellent,rainy,mountainous,Overloaded
heavy vehicle,5819.913051926177,19202.493208674532,1,11190.441030567146,average,clear,highway,Not Overloaded
2-wheeler,179.19102299879023,152.2474880581891,1,106.64884198927155,poor,snowy,urban,Overloaded
heavy vehicle,7349.910398839018,14140.502521892873,2,18405.45320979059,average,extreme,rural,Overloaded
heavy vehicle,6692.744226273633,19019.74088911473,1,11195.2261604875,good,clear,highway,Not Overloaded
heavy vehicle,5220.772984711757,16053.74640982124,2,8437.489587865268,good,clear,highway,Not Overloaded
heavy vehicle,6840.11513497203,12447.966445026399,2,15386.55824457933,poor,rainy,mountainous,Overloaded
heavy vehicle,5358.694723860123,18159.889289350092,1,10143.960696949585,average,clear,urban,Not Overloaded
delivery vehicle,2668.5734856198455,4112.408634672912,1,4893.588709820668,average,windy,urban,Overloaded
heavy vehicle,7444.83888369438,15589.461461086114,1,7888.400680144172,excellent,clear,highway,Not Overloaded
2-wheeler,123.44905751596535,167.69389124287378,1,124.92297675373999,average,rainy,rural,Overloaded
4-wheeler 7-seater,2228.042138557498,952.6429943920897,3,1078.4495511001994,excellent,snowy,suburban,Overloaded
heavy vehicle,6447.861342648665,17779.832328615594,2,10060.366021856582,excellent,clear,urban,Not Overloaded
heavy vehicle,5294.488198365085,15445.414132340109,2,8729.62246919501,excellent,clear,highway,Not Overloaded
delivery vehicle,3150.2149257333467,2057.2010496036683,2,2839.559755196173,average,extreme,desert,Overloaded
heavy vehicle,5560.295008477026,19778.614183084785,2,9921.197109243853,average,clear,suburban,Not Overloaded
heavy vehicle,10024.139669127147,11805.92260046371,1,16153.07668714911,poor,windy,urban,Overloaded
heavy vehicle,9791.472786871556,14799.555087214998,2,17285.195933169973,average,snowy,highway,Overloaded
heavy vehicle,7617.667004658648,19622.770254852643,2,10450.847759159742,excellent,clear,suburban,Not Overloaded
heavy vehicle,5568.415496803687,16287.332086511755,1,8971.349679304278,excellent,clear,suburban,Not Overloaded
delivery vehicle,4474.713785596062,3805.870459323198,3,4816.89850843796,poor,rainy,suburban,Overloaded
heavy vehicle,5827.314231068522,17128.09056879549,2,8939.298213690801,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,1274.7079986849085,508.20323219871716,4,327.50135110956256,very poor,clear,highway,Overloaded
heavy vehicle,5429.130744442852,16799.620160316605,2,8624.245655682831,excellent,clear,rural,Not Overloaded
heavy vehicle,5179.221925721223,18946.82440250629,2,9948.268155290003,excellent,windy,rural,Not Overloaded
4-wheeler 5-seater,1135.8654697834638,436.9807367601212,1,408.3778363895229,average,extreme,rural,Overloaded
heavy vehicle,5868.841162029922,14574.233129283439,2,7329.52366248381,excellent,clear,rural,Not Overloaded
heavy vehicle,5913.712964693405,18187.963227090127,1,9805.931834101666,excellent,windy,suburban,Not Overloaded
2-wheeler,133.10219964903285,194.30424124551587,2,80.94660401807528,good,extreme,rural,Overloaded
heavy vehicle,5499.376531518276,16280.534752651922,1,8388.184779113448,excellent,clear,urban,Not Overloaded
4-wheeler 7-seater,1846.0293706605212,735.9936762265902,7,349.6071430674936,very poor,windy,highway,Overloaded
delivery vehicle,4498.231836115118,4192.354554755477,3,4642.686845409216,excellent,snowy,desert,Overloaded
delivery vehicle,2854.3514398894636,3295.4671011700607,2,3641.8603290012047,very poor,snowy,highway,Overloaded
delivery vehicle,4493.065086298921,2243.969993941517,3,2680.5784957059886,average,foggy,mountainous,Overloaded
heavy vehicle,5095.731165006708,19746.10842975371,1,10480.34524422004,good,windy,highway,Not Overloaded
heavy vehicle,5878.164966056499,18580.50731467956,1,10211.218257909408,excellent,windy,highway,Not Overloaded
heavy vehicle,7564.757544891892,19649.784987116902,2,10786.615721380214,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,1079.63133026938,685.2817110402996,2,790.6956102366353,good,foggy,highway,Overloaded
2-wheeler,120.50648166505891,228.93776400196003,1,203.8831852186982,very poor,extreme,desert,Overloaded
heavy vehicle,8247.463826059316,14693.57099527811,1,19324.888705633817,excellent,extreme,rural,Overloaded
heavy vehicle,5410.487407687961,17077.952133368817,2,10511.398515072086,excellent,clear,urban,Not Overloaded
heavy vehicle,5451.051373137883,17731.03081578768,1,8864.971575739388,good,clear,suburban,Not Overloaded
heavy vehicle,11765.198112586626,14390.44526621298,1,18400.24242186087,poor,snowy,desert,Overloaded
4-wheeler 7-seater,2143.281071162001,813.711937899807,2,961.8050805252494,good,extreme,desert,Overloaded
heavy vehicle,8458.495892063816,11313.772998754634,1,15073.431458192917,very poor,windy,urban,Overloaded
heavy vehicle,10824.454273332447,14442.072581082604,2,16288.021968169105,excellent,clear,rural,Overloaded
4-wheeler 5-seater,1407.3283511712991,574.219225856844,2,551.8839621105528,very poor,clear,suburban,Overloaded
heavy vehicle,5447.902808960283,14055.608114803541,1,7133.199161305668,average,clear,highway,Not Overloaded
heavy vehicle,6491.291540237527,19392.45788933397,2,12546.92663383462,excellent,clear,highway,Not Overloaded
4-wheeler 7-seater,1629.1493412303103,981.5136836980471,4,877.4768345457447,very poor,clear,suburban,Overloaded
heavy vehicle,5319.081145428975,17001.624585467107,2,8488.857407900745,excellent,foggy,highway,Not Overloaded
heavy vehicle,5797.9750864001635,18209.36020403516,2,9394.92240881505,excellent,windy,urban,Not Overloaded
heavy vehicle,5136.001709142683,15591.01050986606,1,7931.596840766451,excellent,clear,coastal,Not Overloaded
heavy vehicle,5444.461995460742,18240.23695404853,1,10253.562830423576,good,clear,rural,Not Overloaded
heavy vehicle,5941.2478227647225,14876.671930948345,2,7518.359013069293,excellent,clear,urban,Not Overloaded
delivery vehicle,4544.328052888863,3654.647245493653,1,5105.819206740122,average,rainy,urban,Overloaded
2-wheeler,148.69651323725574,196.86139833730817,1,178.77375452107228,very poor,foggy,mountainous,Overloaded
4-wheeler 5-seater,1482.4490163482897,677.8795688836319,4,593.1700411041701,poor,foggy,suburban,Overloaded
2-wheeler,183.00463252241246,237.90274093041944,2,118.33351870817458,poor,rainy,highway,Overloaded
delivery vehicle,3684.5461000419346,3301.005558801671,1,3949.888657692138,very poor,snowy,mountainous,Overloaded
heavy vehicle,5929.511823868229,18789.80483162695,1,11661.953441948097,excellent,clear,suburban,Not Overloaded
4-wheeler 7-seater,1530.0941911630619,792.218179207072,3,804.9248693984903,very poor,foggy,suburban,Overloaded
4-wheeler 5-seater,1130.276372916124,418.7917693224222,3,276.7268366227113,average,windy,coastal,Overloaded
delivery vehicle,4708.145541947619,3077.283449179481,1,4193.95949741243,excellent,extreme,highway,Overloaded
heavy vehicle,5105.9674312729585,16107.726329546902,1,8780.236913730465,excellent,clear,highway,Not Overloaded
delivery vehicle,4071.3932217077972,4798.130224124114,3,5867.418336091842,average,extreme,coastal,Overloaded
delivery vehicle,3639.720240327313,2754.288945713738,2,3689.0235815427304,poor,extreme,rural,Overloaded
2-wheeler,154.87223514053207,244.32966076349766,1,232.98215496500853,very poor,clear,highway,Overloaded
heavy vehicle,5341.247334204887,17714.03123266375,2,9414.2389095304,good,clear,coastal,Not Overloaded
heavy vehicle,5487.959964455643,16241.17905628089,2,8147.081808358677,excellent,rainy,highway,Not Overloaded
4-wheeler 5-seater,1359.0839025538583,427.02054091278444,4,210.71595279698244,average,snowy,rural,Overloaded
heavy vehicle,5366.838630069748,18242.355867341434,1,9143.555385521919,excellent,clear,mountainous,Not Overloaded
heavy vehicle,6340.060586889811,8153.814356212987,1,10015.501979054648,poor,rainy,rural,Overloaded
2-wheeler,146.08706896867224,216.48290661415825,1,165.3184994306662,excellent,snowy,coastal,Overloaded
heavy vehicle,7151.366834902639,8327.402301608856,2,12209.278017947585,good,rainy,suburban,Overloaded
heavy vehicle,5172.121134218073,18827.034748849583,1,9850.04929914371,average,clear,coastal,Not Overloaded
4-wheeler 5-seater,1229.7953026440373,490.11879488877435,4,274.41552586704734,poor,foggy,rural,Overloaded
4-wheeler 5-seater,1354.2905570984906,409.8858880847644,1,484.33905256182123,average,clear,urban,Overloaded
heavy vehicle,5169.129652597825,18817.73237113307,1,11648.868202733403,excellent,clear,highway,Not Overloaded
heavy vehicle,6499.627025419285,18323.541056563197,1,26973.89620360589,excellent,extreme,rural,Overloaded
heavy vehicle,5188.372319779466,19434.87015407724,1,10414.442268842131,good,windy,rural,Not Overloaded
delivery vehicle,4996.248980385835,2345.555518478781,2,2921.1115755893297,poor,extreme,rural,Overloaded
heavy vehicle,5145.960873952708,14787.336844791254,1,8135.051526127119,excellent,clear,rural,Not Overloaded
4-wheeler 7-seater,1711.906825576456,972.5497798257895,3,914.1372817139211,average,extreme,coastal,Overloaded
heavy vehicle,7978.055126628427,19894.782246482082,1,10291.942368318776,excellent,clear,urban,Not Overloaded
heavy vehicle,5336.065558335534,17393.52651761469,1,9703.404957364692,excellent,clear,highway,Not Overloaded
delivery vehicle,4979.182352415323,4303.111613640012,1,6234.523274990256,very poor,rainy,highway,Overloaded
4-wheeler 7-seater,1763.5370681610902,960.167321505259,7,678.3218033475179,excellent,foggy,rural,Overloaded
heavy vehicle,5712.1074149649485,16694.650200461507,2,8544.348626253963,excellent,windy,urban,Not Overloaded
heavy vehicle,8530.62472173977,19819.032820221553,1,25323.62459019381,very poor,clear,urban,Overloaded
4-wheeler 5-seater,978.0526546243462,674.6340206366581,5,422.28023999092113,very poor,extreme,coastal,Overloaded
4-wheeler 5-seater,1070.3811965426387,563.4006226695838,4,338.4514449083157,very poor,clear,urban,Overloaded
heavy vehicle,10694.251753485098,13176.65156028345,1,15471.886467888731,poor,rainy,suburban,Overloaded
delivery vehicle,2817.086531184432,4735.736042764656,1,5146.660180370796,excellent,foggy,highway,Overloaded
heavy vehicle,5056.821350022702,18943.923188676126,2,9872.107507856896,excellent,windy,urban,Not Overloaded
2-wheeler,147.62854374164834,223.0417061428846,1,181.63240678423531,excellent,rainy,mountainous,Overloaded
4-wheeler 7-seater,1763.069935570843,927.179961067557,2,957.7213615583984,average,snowy,mountainous,Overloaded
heavy vehicle,5024.379157422596,13980.771080557515,1,7411.469108089809,good,clear,suburban,Not Overloaded
heavy vehicle,6487.749596911777,18479.68696174564,1,9705.921219808877,good,clear,suburban,Not Overloaded
heavy vehicle,5090.49365191606,19181.678185520745,2,10061.92041552251,average,clear,rural,Not Overloaded
heavy vehicle,5734.151634483459,16580.37002845036,2,8461.260706990151,excellent,windy,highway,Not Overloaded
heavy vehicle,6572.5478408276285,15752.653992331234,2,7871.656310310583,good,clear,highway,Not Overloaded
4-wheeler 5-seater,1014.4901645753669,674.7077575503912,5,388.9532440061136,poor,extreme,urban,Overloaded
heavy vehicle,11057.43007865327,11335.955625959425,1,13876.471198049145,excellent,snowy,desert,Overloaded
heavy vehicle,5142.963071044789,16791.607843127378,2,8449.171356055203,excellent,clear,rural,Not Overloaded
heavy vehicle,8180.4945543198555,19286.768871313932,2,9864.96709311344,excellent,clear,urban,Not Overloaded
4-wheeler 5-seater,800.511279562104,462.13541794431876,5,130.37194012210827,good,rainy,rural,Overloaded
4-wheeler 7-seater,2487.1635671705453,693.6280337108719,7,293.74112501948747,average,foggy,desert,Overloaded
2-wheeler,128.54576331338126,150.46360769640438,2,13.957800765734982,very poor,rainy,desert,Overloaded
heavy vehicle,6261.975379804788,19574.330168456447,1,9957.913769248671,good,clear,coastal,Not Overloaded
2-wheeler,108.1630771304752,239.46969026206466,1,207.6765723543971,good,foggy,desert,Overloaded
4-wheeler 5-seater,1207.2346587771692,598.9018720875969,2,658.884446501102,poor,snowy,coastal,Overloaded
delivery vehicle,3895.961115338063,4130.171645773002,2,4568.486421796725,very poor,rainy,suburban,Overloaded
heavy vehicle,5938.053743871346,19358.687271142328,1,10476.928721741193,good,clear,suburban,Not Overloaded
heavy vehicle,5236.835618944601,16267.713579918545,2,8397.237702613571,excellent,clear,rural,Not Overloaded
heavy vehicle,5842.837146083693,19299.10548691263,1,9865.248142610806,average,windy,highway,Not Overloaded
heavy vehicle,6176.995265940246,19231.89065781299,1,10723.44801443942,good,clear,urban,Not Overloaded
heavy vehicle,5472.599534086875,19903.996712827393,2,11558.57142575392,average,clear,suburban,Not Overloaded
heavy vehicle,6111.488054642585,16051.289016425739,1,8825.19186934703,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,1346.400253234335,680.5705649339743,2,758.7578140294196,very poor,extreme,mountainous,Overloaded
heavy vehicle,5929.740147722841,16487.407711179934,1,8446.653143571071,excellent,clear,rural,Not Overloaded
delivery vehicle,3531.8229383999455,2203.679096911234,1,3199.5599312930417,excellent,snowy,highway,Overloaded
heavy vehicle,5650.41697048006,19434.88552722972,2,10412.988497157052,good,clear,coastal,Not Overloaded
heavy vehicle,10888.74103835718,10434.838253771879,1,14858.763937798622,excellent,clear,desert,Overloaded
4-wheeler 5-seater,1458.61825263623,690.099540596994,3,655.3889827213246,very poor,windy,urban,Overloaded
heavy vehicle,6069.122933747033,18385.46262613889,2,9721.953162783402,good,windy,highway,Not Overloaded
heavy vehicle,5026.919084256809,14584.19946441997,1,8032.127745430092,excellent,clear,highway,Not Overloaded
heavy vehicle,5051.603984066526,15771.115811774227,1,8203.073651670276,excellent,windy,suburban,Not Overloaded
heavy vehicle,5219.306699550159,15664.569616378027,2,8055.886311627182,good,clear,highway,Not Overloaded
2-wheeler,170.1476773310414,191.27206139622555,1,161.65668368119714,good,clear,highway,Overloaded
heavy vehicle,5516.324473360675,19396.939515594582,2,9775.72565897697,excellent,windy,highway,Not Overloaded
heavy vehicle,6160.7137822048135,17987.672911709662,2,9560.27258299734,average,clear,highway,Not Overloaded
heavy vehicle,6497.608931120673,19738.108022168926,1,10589.18709555062,good,clear,suburban,Not Overloaded
4-wheeler 5-seater,1185.0539523074162,421.2026384514142,2,413.141374745637,poor,extreme,highway,Overloaded
heavy vehicle,5971.385814001527,17585.702617119903,2,9742.38261259653,good,clear,urban,Not Overloaded
2-wheeler,140.29803966756754,211.32238411536267,2,98.17561644717814,very poor,extreme,desert,Overloaded
heavy vehicle,5539.387945105642,17643.400046702165,2,9013.33274219307,average,clear,coastal,Not Overloaded
4-wheeler 5-seater,1325.1094260188365,664.5639186065001,3,608.1580035136943,poor,windy,highway,Overloaded
heavy vehicle,7311.073280741902,19166.970142206796,2,10119.520046433869,excellent,clear,suburban,Not Overloaded
delivery vehicle,3705.2824217323378,2078.4744556033306,1,2393.4387816289177,poor,extreme,highway,Overloaded
heavy vehicle,5334.344668283546,18912.14236903659,2,9540.463854590997,excellent,rainy,coastal,Not Overloaded
delivery vehicle,3928.4329280635957,3107.654696228027,3,3677.3485622751814,poor,extreme,urban,Overloaded
heavy vehicle,5020.464436366469,19488.207194047685,1,11934.316387566178,excellent,clear,urban,Not Overloaded
4-wheeler 5-seater,875.4262554453697,576.765351942695,1,667.4029544001443,average,snowy,rural,Overloaded
heavy vehicle,6025.762153159626,15287.511085209928,1,8277.230504572666,excellent,clear,urban,Not Overloaded
heavy vehicle,5426.538767445574,16826.718562726786,1,9498.775235820971,excellent,windy,highway,Not Overloaded
heavy vehicle,5509.464335790082,18766.314053783215,2,10127.99706837467,good,clear,highway,Not Overloaded
heavy vehicle,5220.341229549935,17418.86473623246,2,9434.045308263137,excellent,windy,suburban,Not Overloaded
4-wheeler 7-seater,1745.312738224583,619.0081309094141,6,293.4995879011388,very poor,extreme,rural,Overloaded
heavy vehicle,5264.822793640776,17875.61120241275,1,9248.957494675016,good,clear,desert,Not Overloaded
